Dictionary_Method,Clustering_Algorithm,Silhouette_Score,Davies_Bouldin_Index,Calinski_Harabasz_Score,N_Clusters
Method A,K-Means,0.602589528096424,0.5417317726797601,16.330467171196098,2
Method A,Hierarchical,0.602589528096424,0.5417317726797601,16.330467171196098,2
Method B,K-Means,0.6229318402681042,0.23624273346138724,11.624332461054642,2
Method B,Hierarchical,0.6229318402681042,0.23624273346138724,11.624332461054642,2
Method C,K-Means,0.6329814832516399,0.4169444604452782,17.77156766106743,2
Method C,Hierarchical,0.6329814832516399,0.4169444604452782,17.77156766106743,2
