언론사,Bias_Score_A
KBS,0.06429502629924226
MBC,0.15087391133970907
OBS,0.02209436677259074
SBS,0.07283004376072591
YTN,0.07703666617063518
경향신문,0.07291976490785583
국민일보,0.13224275999449714
내일신문,0.07795905728824802
동아일보,0.14076899671496837
문화일보,0.08868027814462226
서울신문,0.10582472291894426
세계일보,0.1720926018768155
시사IN,0.6614370909127225
아시아투데이,0.4179877115929707
조선일보,0.09887276541260762
중앙일보,0.1373255712859114
한겨레,0.15904152243205016
한국일보,0.07945450270911922
