언론사,Bias_Score_B
KBS,26.80655774040099
MBC,27.62432375470885
OBS,26.781227625806746
SBS,30.194996449096447
YTN,29.702769122390507
경향신문,26.730051689991583
국민일보,27.156760203983108
내일신문,25.88105570534577
동아일보,28.81339203551344
문화일보,27.551387579282444
서울신문,27.03975596577545
세계일보,28.23703606091674
시사IN,37.302607884824894
아시아투데이,23.999388606425764
조선일보,29.46632975021003
중앙일보,27.526209941858166
한겨레,27.744209514705997
한국일보,28.330073765737573
