언론사,Bias_Score_C
KBS,0.059976834706116665
MBC,0.14223687438156996
OBS,0.02209436677259074
SBS,0.07283004376072591
YTN,0.07083101599447356
경향신문,0.06958383188010737
국민일보,0.12108692120613618
내일신문,0.07043852794498232
동아일보,0.1321451717500914
문화일보,0.08380198558080577
서울신문,0.09582200025116636
세계일보,0.1618840319284455
시사IN,0.5024463565044521
아시아투데이,0.4167034321589172
조선일보,0.09379799962784877
중앙일보,0.12880137747524567
한겨레,0.14611237097409982
한국일보,0.07819354756567126
